age,gender,confrontative coping,distancing,self-controlling,seeking social support,"accepting
 responsibility",escape-avoidance,planful problem- solving,positive reappraisal,tolerance of ambiguity,intolerance of ambiguity,interpersonal intolerance of ambiguity
20,1,8,11,12,15,12,10,12,12,69,41,41
21,1,11,15,15,11,9,19,11,19,61,66,34
22,1,13,10,15,13,10,15,13,14,67,74,43
22,1,11,13,14,15,10,14,12,17,47,68,36
20,1,8,8,14,12,9,19,8,12,57,53,45
20,1,6,7,14,11,5,7,13,15,62,66,37
22,1,13,10,15,13,10,15,13,14,67,74,43
22,1,4,11,13,13,5,17,7,9,46,47,43
20,2,11,9,12,16,11,20,11,12,63,51,44
21,1,11,15,15,11,9,19,11,19,61,66,34
21,1,11,9,11,17,8,16,11,15,64,50,25
20,1,9,7,17,15,9,15,12,12,63,73,41
20,1,8,13,13,9,12,15,13,17,77,54,44
19,1,10,11,18,11,5,14,13,13,54,69,45
21,1,13,10,13,16,10,21,11,14,65,73,43
19,1,9,13,12,8,5,13,7,10,53,54,35
21,1,10,7,15,16,10,7,12,12,53,70,47
20,1,6,12,13,9,9,9,9,13,49,53,28
21,1,7,8,11,13,9,14,10,6,64,47,46
19,1,7,9,15,10,10,13,9,10,51,54,45
20,1,10,8,15,16,10,15,15,16,62,63,43
20,1,13,10,11,11,8,20,9,14,59,60,53
19,1,15,8,15,8,9,11,12,11,76,68,36
20,1,13,9,15,17,11,14,11,12,60,61,46
20,1,6,6,16,14,6,8,12,12,62,47,36
21,1,14,11,16,17,10,17,15,15,64,64,42
20,1,12,16,14,13,8,15,12,18,64,67,44
22,1,12,9,15,17,12,15,12,10,55,59,32
20,1,14,13,16,13,9,16,14,13,55,57,39
19,2,7,13,17,10,11,15,15,13,61,62,43
19,1,8,9,18,12,9,15,11,17,64,50,39
20,2,10,13,12,3,8,14,6,6,45,55,42
20,1,9,12,15,8,7,20,8,13,59,47,43
19,1,9,12,15,1,5,13,6,10,40,67,44
20,1,9,7,12,14,11,15,10,7,64,46,42
20,1,8,9,12,14,5,15,13,16,53,59,36
19,1,10,9,13,15,8,12,10,8,56,57,44
24,1,13,10,14,12,8,17,11,16,62,46,28
19,2,10,11,16,12,9,8,9,15,57,61,27
19,1,6,5,13,10,8,8,9,11,62,53,42
21,1,10,7,15,16,10,7,12,12,53,70,47
23,1,14,15,14,10,5,22,9,12,53,64,36
22,1,8,9,12,8,7,20,3,4,68,59,42
22,1,12,9,9,11,6,16,12,15,67,66,35
22,2,11,15,16,12,10,20,11,11,47,77,51
22,1,13,15,16,15,11,20,9,13,53,57,46
22,1,8,8,11,10,9,12,12,16,59,69,43
22,1,9,4,15,9,4,8,12,17,60,64,22
20,2,11,9,16,13,6,13,14,16,64,70,33
20,1,8,13,17,16,7,15,11,10,72,47,37
19,1,4,7,11,6,12,15,8,5,61,50,38
19,1,8,8,13,15,11,13,14,8,56,67,38
19,2,13,6,16,14,9,11,12,13,60,72,30
20,1,8,9,12,12,5,8,12,15,65,59,39